0,1,2,3,4,5,6,7,8,9,10
2128,1398,2129,1515,2217,1530,2088,1468,2181,1465,2104
342,350,342,349,342,350,418,418,342,367,359
401,368,410,388,393,358,342,376,334,384,384
335,401,326,340,317,333,326,384,318,368,318
334,309,326,333,335,343,343,351,359,342,326
359,350,343,359,334,359,342,359,334,359,344
318,326,342,324,317,366,342,355,367,342,360
351,350,334,384,343,348,318,342,435,350,350
334,368,317,366,342,368,359,385,317,376,410
334,351,334,376,351,350,393,375,343,442,335
402,334,394,341,419,348,351,348,342,335,325
351,351,335,399,326,392,326,366,342,376,342
325,367,351,375,317,342,326,384,309,342,325
351,358,342,393,326,366,350,341,343,350,359
351,418,351,368,334,351,326,359,334,376,342
342,342,317,342,325,359,317,357,376,350,351
342,334,368,359,318,340,343,368,410,367,326
351,342,401,371,334,384,384,349,341,392,359
426,334,317,350,384,324,318,341,343,334,393
359,334,327,359,335,349,310,350,350,367,351
343,343,342,382,334,377,334,367,343,351,335
342,367,326,333,309,358,309,333,317,393,326
334,383,342,367,342,340,342,333,343,367,342
334,359,326,366,309,383,318,335,326,394,334
343,401,342,376,334,392,342,374,466,351,451
317,318,437,350,310,333,386,391,370,366,352
503,351,325,351,430,393,325,419,334,368,651
351,317,334,669,306,357,378,364,317,350,317
317,341,334,366,359,374,358,333,334,362,651
334,326,343,368,335,368,342,359,326,351,325
318,351,334,410,317,350,351,340,342,359,351
342,351,351,317,342,340,351,392,334,334,342
334,350,350,376,343,376,342,350,351,392,350
358,343,342,340,349,334,350,375,342,346,350
351,392,401,351,334,358,419,341,409,342,351
393,335,325,374,377,359,342,368,334,359,393
309,350,317,359,350,334,326,332,326,340,311
351,318,318,466,359,358,342,376,325,360,434
317,342,325,384,318,392,326,340,326,365,351
326,317,309,340,317,358,334,360,327,368,326
359,334,352,368,342,350,342,357,351,391,334
368,335,359,357,335,406,414,366,402,376,393
334,342,376,342,403,324,322,333,317,359,309
402,393,310,359,351,399,334,383,359,350,368
325,318,325,342,309,351,317,351,309,360,309
342,350,301,351,326,367,334,357,343,395,342
343,326,334,384,351,332,334,384,342,359,351
342,334,326,363,325,400,334,366,326,351,342
317,309,325,325,301,333,326,367,317,350,326
335,341,318,400,393,375,376,358,351,343,384
342,351,351,359,384,366,409,367,393,356,409
334,326,384,350,301,342,368,334,317,348,318
399,350,318,359,342,341,334,375,351,360,367
320,403,374,374,309,368,325,375,317,485,326
342,333,359,358,342,332,342,384,333,333,326
359,358,376,359,343,333,334,350,344,350,359
326,334,334,367,333,393,442,368,317,373,342
317,334,309,334,326,342,343,342,317,333,326
384,334,343,359,326,365,325,384,351,360,392
342,342,309,359,334,343,351,386,376,359,435
326,318,342,401,418,341,393,333,301,358,317
394,334,719,378,335,367,351,367,310,338,343
334,351,334,376,317,359,342,358,342,358,334
317,392,325,358,326,342,317,366,309,359,326
334,635,334,356,325,350,343,342,343,342,343
318,342,327,360,326,359,326,375,317,352,317
350,334,367,367,326,343,334,342,351,333,359
343,326,335,334,351,366,342,367,402,363,387
334,375,477,359,401,371,376,348,350,393,315
402,345,349,343,309,357,383,368,343,342,342
343,501,335,350,343,342,435,357,426,340,351
333,350,334,367,333,367,343,368,351,376,325
335,343,325,377,334,349,334,349,342,359,342
325,309,334,351,334,366,334,383,359,366,335
334,350,334,342,326,375,317,359,359,367,359
318,309,318,340,301,375,326,342,401,351,342
359,343,367,325,368,358,326,348,335,350,368
397,318,395,351,385,376,351,375,318,342,421
330,359,332,368,308,399,377,368,334,343,322
351,384,343,428,351,359,324,340,334,350,367
317,326,308,367,309,357,335,359,326,358,318
342,334,326,350,317,404,308,483,350,443,334
342,309,334,368,342,359,335,375,377,361,342
335,439,334,368,343,367,334,375,437,352,351
326,350,318,342,359,358,342,351,339,355,326
367,334,359,350,376,395,334,340,343,342,350
394,334,392,382,398,368,351,375,342,376,359
324,334,326,343,312,357,359,349,335,340,358
343,301,335,348,643,349,392,358,318,367,418
376,326,333,341,333,359,334,368,367,334,334
334,325,326,333,326,367,334,340,395,375,342
351,350,334,325,334,357,326,368,341,366,334
326,368,343,368,326,368,334,375,334,360,326
350,393,317,332,309,332,317,349,317,342,317
419,317,359,352,342,333,351,341,318,366,360
333,343,385,367,376,444,342,384,334,375,342
335,325,334,342,301,334,343,349,318,367,359
333,334,342,359,360,381,399,376,350,363,415
335,343,317,364,350,385,336,375,428,383,320
325,368,335,348,410,372,334,350,325,367,334
343,366,384,367,334,375,334,357,343,349,359
368,359,342,341,350,375,350,350,333,369,342
375,359,317,375,350,350,350,366,350,348,350
401,350,368,333,368,350,343,342,342,383,350
326,401,401,360,401,366,333,383,376,368,326
326,342,318,340,309,358,326,350,334,358,350
333,343,350,383,326,367,342,350,350,348,359
325,343,317,352,317,351,334,375,343,377,342
343,317,334,351,325,340,414,358,350,382,536
359,334,334,350,343,391,355,341,402,343,350
342,334,350,385,325,359,326,375,334,342,384
317,351,326,383,334,391,300,350,317,334,367
352,401,344,350,318,333,344,383,343,363,367
425,318,448,367,367,368,341,350,359,342,348
310,350,320,366,418,332,335,391,325,359,334
326,326,334,367,334,391,343,358,326,340,367
368,327,368,376,334,367,401,377,351,360,351
325,384,318,375,309,383,326,390,394,375,365
343,334,350,366,334,342,350,383,341,392,368
325,461,310,427,309,359,326,376,318,368,351
326,358,333,366,326,357,342,390,309,375,342
377,367,386,342,326,375,359,367,326,383,388
326,350,325,376,334,350,334,376,325,371,351
317,318,326,341,381,375,360,442,326,383,342
327,366,334,399,354,350,432,375,351,384,352
334,335,317,383,334,391,329,367,351,375,350
317,342,326,368,309,350,334,359,376,359,343
437,650,334,349,685,366,342,367,375,374,358
334,343,317,375,359,359,342,379,326,376,367
317,350,334,350,334,349,326,350,326,357,409
359,418,386,375,359,350,343,367,334,408,353
334,369,325,384,382,376,334,376,342,376,333
343,317,368,358,312,365,334,365,334,384,385
367,351,342,359,342,392,395,350,318,376,367
367,326,309,360,326,385,323,375,350,417,358
393,350,351,359,341,358,342,416,359,413,383
352,342,326,342,335,357,334,350,401,359,410
309,343,350,349,325,383,334,350,334,374,358
326,410,377,367,317,333,326,350,342,383,358
350,317,342,361,335,401,334,350,334,367,368
343,334,326,360,342,665,325,375,326,376,360
325,325,317,349,384,392,318,383,317,359,342
351,326,343,374,335,333,351,383,352,359,366
350,343,334,384,366,360,342,343,375,385,334
359,317,326,334,350,340,349,673,359,379,358
392,334,360,358,351,374,393,375,411,334,367
334,359,392,377,334,384,343,368,309,376,357
342,388,318,375,384,359,359,357,334,375,342
318,322,359,361,350,349,350,375,318,372,376
334,344,326,452,334,410,334,368,342,359,332
317,325,367,391,326,343,351,365,317,393,342
377,318,326,375,444,363,351,399,360,359,385
350,327,326,360,326,376,325,360,400,369,383
396,410,342,348,342,376,359,376,327,425,359
340,309,413,351,352,342,410,347,359,335,360
342,342,323,332,375,363,351,383,317,384,350
427,317,342,375,343,375,350,384,342,367,383
326,334,342,375,342,393,427,383,351,342,343
318,334,343,343,368,359,326,342,359,360,369
350,334,375,348,414,356,342,342,334,346,391
411,317,360,343,371,359,334,357,368,376,367
325,334,342,324,384,342,359,351,367,334,383
375,376,366,426,334,349,401,352,409,352,350
351,418,368,340,343,376,351,375,343,375,376
341,334,401,351,334,365,334,356,326,350,348
343,342,326,340,342,359,334,340,342,343,392
326,309,351,384,385,349,343,359,326,367,375
342,343,333,333,393,351,359,341,351,383,351
334,317,326,359,343,341,334,351,350,385,348
342,344,326,340,342,350,350,340,351,334,367
436,442,350,352,350,358,343,343,431,351,358
350,319,350,358,342,375,393,365,321,367,383
343,334,342,351,327,341,343,343,334,348,392
325,325,317,342,326,391,317,359,334,376,401
342,325,343,367,359,375,335,358,326,367,357
326,333,403,374,393,383,350,331,342,350,358
342,326,342,352,317,376,343,393,342,361,342
309,334,326,383,376,351,333,332,343,409,333
351,334,342,342,335,348,377,367,367,386,366
393,343,334,392,325,409,399,341,359,360,333
326,410,309,401,335,342,335,368,418,348,384
342,326,359,309,350,348,343,348,342,368,366
317,326,342,368,342,368,342,376,383,358,375
342,342,350,334,402,749,343,357,341,350,333
334,419,393,358,352,374,342,360,353,349,385
343,343,334,351,326,368,351,359,384,378,340
359,411,342,342,325,367,325,348,363,383,383
350,316,326,359,360,357,351,359,359,367,402
334,335,325,351,334,359,399,357,367,350,366
438,333,309,383,342,418,328,385,349,342,340
340,334,343,350,377,397,318,381,359,342,377
334,334,342,359,326,343,351,360,359,359,400
326,334,351,359,317,348,318,342,351,402,343
350,318,444,435,335,392,384,350,368,334,375
335,351,333,367,333,359,367,358,342,359,351
317,409,326,332,343,376,342,384,367,342,359
359,384,342,375,334,358,394,359,485,359,413
407,335,326,343,351,359,334,380,326,376,339
328,350,317,350,401,334,326,366,400,349,350
368,350,336,375,369,350,327,367,375,347,376
352,351,468,359,359,350,368,350,341,360,349
350,308,317,351,342,349,376,334,375,400,367
359,334,334,366,343,375,401,359,359,359,357
309,351,318,351,342,359,334,350,342,367,383
367,343,341,334,342,367,350,326,340,347,334
350,358,343,362,694,377,326,358,368,376,376
410,383,325,359,326,421,342,359,357,359,383
317,319,343,350,325,339,334,367,324,359,342
343,367,309,358,327,351,350,334,351,358,365
334,334,359,358,333,342,318,350,342,380,341
334,359,402,384,351,340,334,358,351,359,359
342,326,342,334,334,383,351,358,359,351,349
326,351,301,351,376,343,401,359,373,676,375
326,317,334,350,411,350,326,409,351,342,325
434,359,343,334,367,358,344,401,334,355,384
318,402,309,358,335,366,359,350,358,384,341
360,350,360,350,342,375,334,359,339,375,375
368,359,415,358,327,357,350,349,366,376,366
309,368,311,351,700,351,334,353,358,367,375
334,318,342,375,401,365,343,424,350,368,333
326,342,334,358,360,359,384,367,376,371,368
367,326,326,369,317,349,334,372,349,376,357
401,350,334,358,343,358,317,360,333,340,333
359,410,317,350,334,367,317,342,384,375,366
326,343,326,351,342,351,334,343,350,351,334
301,334,309,375,335,367,318,376,351,383,350
334,317,359,367,411,350,351,334,385,351,359
326,318,392,351,326,368,325,401,383,351,357
326,333,327,359,333,375,343,395,371,350,350
334,318,376,384,343,358,393,381,351,358,368
388,334,326,384,376,384,384,368,350,375,350
372,350,317,386,342,367,350,334,351,384,340
335,402,343,359,318,354,334,358,367,354,391
343,351,317,382,394,367,334,351,355,376,351
317,350,342,359,342,342,335,359,342,367,341
342,317,386,334,326,359,350,366,384,367,376
317,351,316,368,351,343,326,375,332,351,357
350,318,342,351,325,375,366,367,375,366,359
343,342,334,359,343,366,343,358,359,367,357
401,334,317,351,317,359,367,351,351,367,341
326,450,350,367,351,326,341,375,366,334,342
335,371,343,420,377,350,410,358,376,370,351
342,334,333,398,643,395,334,368,330,384,349
309,342,318,342,308,324,384,367,350,350,350
351,326,317,408,335,367,317,350,351,376,359
684,334,334,370,317,376,366,409,342,393,350
358,359,411,484,366,350,351,402,384,358,386
436,334,334,376,334,366,342,358,359,375,418
367,420,309,401,326,351,360,359,364,374,358
334,315,334,392,351,343,317,343,358,367,361
325,351,317,318,398,349,359,366,350,358,368
350,334,350,376,329,376,351,368,725,368,332
350,350,342,350,350,351,358,342,383,334,349
343,358,342,375,351,396,410,358,359,349,352
334,334,326,381,333,367,325,351,376,351,358
342,334,342,368,326,375,334,384,334,358,351
376,351,383,342,318,366,343,326,363,359,359
334,350,319,351,341,373,327,351,367,384,346
409,343,350,326,358,367,400,342,375,376,342
344,434,335,359,335,391,334,358,367,701,343
325,384,333,342,359,377,401,368,359,368,367
360,334,334,368,367,366,326,351,348,359,348
342,318,318,418,414,350,343,376,367,349,366
350,325,334,367,321,367,317,375,366,392,376
326,318,309,333,334,350,368,359,325,350,351
343,341,342,375,343,358,326,359,376,358,398
409,335,393,342,325,359,325,386,367,367,358
309,333,318,351,309,334,343,366,393,343,358
327,334,334,339,334,392,402,366,675,366,358
334,396,326,360,309,343,333,367,358,378,367
312,391,317,342,343,361,326,342,358,392,358
435,317,343,359,393,400,334,350,359,452,375
325,334,325,367,326,366,343,368,358,359,367
351,326,359,359,358,383,358,350,358,675,401
343,334,359,334,343,325,343,358,367,358,392
325,317,384,370,333,668,334,376,343,408,364
343,343,326,342,376,324,342,392,353,359,375
326,410,351,391,309,367,395,342,384,366,376
342,335,309,384,334,359,307,351,342,376,357
376,341,334,367,326,351,318,375,359,350,368
352,334,334,340,342,350,342,369,436,358,366
325,326,326,368,793,376,351,366,341,413,349
334,333,317,367,360,335,334,376,362,342,342
334,334,368,367,342,375,366,334,367,383,368
326,326,384,334,342,375,350,375,342,383,356
360,393,318,376,309,394,372,334,377,386,383
394,350,342,350,352,349,326,359,383,373,360
350,385,334,351,333,360,376,375,358,400,367
326,368,359,361,334,340,342,334,358,343,391
333,350,342,359,393,375,372,351,367,366,344
327,343,327,351,334,367,366,377,348,375,367
342,333,350,350,326,343,383,325,350,358,371
350,326,342,351,334,349,350,383,376,363,359
326,334,351,376,325,376,392,351,347,375,367
358,351,349,350,325,342,358,342,325,376,348
351,384,393,388,360,359,359,332,359,400,351
401,343,326,359,325,367,357,368,367,368,357
318,351,334,359,318,367,367,358,351,359,342
359,368,326,350,334,334,359,367,367,366,351
359,317,342,368,401,486,350,400,350,372,383
334,367,342,334,309,342,349,358,383,400,365
343,358,351,358,351,384,368,358,359,391,367
301,342,351,371,326,382,350,382,354,351,333
334,326,392,342,325,359,366,393,343,375,342
388,359,408,351,334,334,359,359,359,351,384
314,410,319,367,326,376,348,342,423,351,359
334,325,317,351,334,350,366,375,333,350,348
367,343,367,350,351,359,376,359,359,358,358
343,342,326,359,398,358,340,367,359,351,350
325,334,326,394,354,343,384,342,351,334,325
343,317,342,359,334,350,383,367,367,350,351
325,334,318,326,410,358,375,386,358,359,359
326,326,334,409,334,360,341,341,372,369,372
397,343,399,351,359,428,368,368,351,375,359
313,394,336,376,334,357,340,391,333,394,349
335,359,334,350,351,351,342,349,360,367,367
342,333,344,370,385,351,350,368,683,358,368
325,351,400,385,351,384,368,350,375,383,340
310,326,342,358,367,359,376,358,372,359,351
342,358,343,358,335,367,367,332,359,359,366
317,334,351,383,350,361,358,400,342,358,374
326,334,401,367,334,367,366,358,367,367,358
369,358,342,375,335,333,381,409,376,366,344
384,351,334,375,410,360,351,351,355,359,356
326,393,309,343,325,340,367,374,333,461,368
342,309,343,359,351,359,351,384,385,367,357
317,351,317,367,334,334,359,358,375,349,383
343,309,334,359,351,410,342,358,351,375,350
334,367,351,427,343,333,405,356,375,375,376
342,334,342,376,342,342,356,411,364,360,382
401,334,385,376,343,326,375,374,341,359,367
318,326,334,367,393,368,368,358,376,367,351
334,359,326,343,343,413,342,384,357,384,342
334,350,359,375,326,338,358,373,351,375,364
334,350,385,334,359,350,375,391,342,351,359
326,393,358,351,317,351,358,360,366,401,358
341,325,708,393,341,332,359,350,384,409,333
343,343,342,317,351,385,351,366,359,343,359
317,325,317,359,326,340,346,359,347,384,349
334,326,343,343,393,376,367,343,384,342,717
385,318,387,350,384,334,366,358,392,358,401
367,326,315,359,334,359,384,367,359,368,375
326,350,326,469,326,339,333,369,351,342,383
342,368,342,392,343,325,368,426,373,358,681
326,402,326,468,326,343,340,368,357,381,383
309,342,326,342,334,350,360,342,359,367,367
351,326,342,392,350,364,356,359,350,350,376
308,326,317,366,343,360,367,384,367,360,358
342,333,350,376,390,367,351,325,358,350,350
351,334,428,326,346,359,367,350,376,376,376
385,327,334,367,317,365,366,376,364,376,334
309,359,317,351,343,359,350,358,351,502,358
342,358,351,366,334,400,376,334,350,342,367
326,350,317,375,342,343,334,358,360,383,358
334,341,335,350,334,350,350,367,358,358,342
342,434,334,676,368,392,343,396,359,367,587
334,368,342,376,426,359,434,350,363,359,350
326,366,393,359,309,367,412,341,350,350,351
469,367,317,366,343,359,390,367,366,348,368
343,342,343,369,342,401,351,340,343,368,334
317,317,309,383,334,326,325,375,383,350,351
352,359,343,341,359,375,368,333,377,376,351
350,326,325,360,334,343,325,360,405,342,351
334,333,326,333,350,373,350,348,342,342,392
352,362,309,358,360,350,376,383,359,350,360
400,352,342,375,401,359,375,342,343,375,358
318,349,359,367,317,342,334,383,342,349,351
342,358,400,340,334,350,358,341,358,359,390
326,327,310,359,318,393,358,360,338,359,351
333,333,333,341,385,363,392,365,350,334,385
343,333,334,383,376,377,392,333,369,358,393
325,319,325,359,351,359,351,367,366,367,334
343,351,342,359,367,359,358,376,383,375,351
384,359,342,359,402,350,405,340,359,367,410
334,391,334,359,333,383,346,384,351,417,343
342,319,350,359,358,355,385,333,363,335,342
393,351,318,342,334,341,392,341,428,400,376
325,334,350,359,342,360,343,352,358,376,342
350,334,685,386,342,340,383,367,372,359,383
342,318,408,359,342,367,359,356,367,436,368
309,325,318,342,309,341,342,358,359,342,359
351,343,350,359,350,383,358,383,366,366,359
351,342,335,342,318,351,360,333,368,350,422
350,402,341,368,377,367,367,385,359,358,338
317,333,325,350,349,367,368,342,375,368,401
352,351,335,358,420,376,368,374,364,360,375
392,412,325,359,325,351,340,367,359,368,357
369,350,326,359,351,375,367,392,376,358,351
317,358,326,352,317,334,351,351,380,375,374
342,343,342,400,343,350,359,363,342,351,350
318,359,393,333,325,350,342,350,359,359,358
334,366,342,392,368,366,368,383,377,350,351
317,418,334,374,394,350,392,375,333,350,358
334,334,318,409,325,359,351,376,358,351,340
369,350,342,343,318,393,385,340,382,342,360
334,318,334,358,342,326,359,359,341,404,348
317,334,334,358,317,449,349,341,376,342,351
335,325,335,358,344,384,385,367,376,359,367
333,326,342,376,367,351,357,342,366,351,409
343,326,384,334,393,358,359,351,368,358,351
309,326,309,359,318,368,357,348,350,366,351
359,397,334,343,359,384,351,367,346,375,350
359,321,319,358,350,350,342,335,359,367,359
388,343,342,349,351,383,365,375,351,358,361
322,334,358,351,317,367,367,351,342,368,359
359,325,350,375,367,351,383,350,350,342,334
334,318,334,361,342,366,351,334,342,375,367
318,326,309,367,334,351,348,359,350,384,334
334,317,334,326,334,359,343,358,342,367,359
317,350,386,374,410,417,350,367,350,358,349
334,342,316,344,326,384,340,394,358,402,350
385,376,326,366,327,342,378,350,345,367,359
334,318,326,359,384,367,365,401,351,342,351
334,359,334,701,351,374,359,359,351,351,333
309,326,350,366,317,368,364,356,375,334,351
334,343,326,367,351,365,359,350,351,358,427
309,318,317,351,385,352,334,358,372,376,350
334,350,335,375,309,356,357,376,400,350,343
318,358,377,385,334,375,343,350,367,359,367
351,444,342,368,335,360,367,377,360,468,340
401,326,326,358,317,359,359,358,350,369,350
317,350,350,368,351,364,355,367,363,342,366
350,326,326,342,350,359,358,351,384,359,367
358,359,375,410,358,359,367,367,366,334,358
326,317,343,350,335,366,343,351,351,367,342
342,335,342,363,409,391,350,361,359,350,359
326,350,342,325,318,384,366,427,359,343,373
342,343,415,350,342,348,368,359,351,350,351
326,390,321,359,317,368,347,359,363,358,367
325,378,350,351,343,333,359,358,342,350,350
335,368,326,362,334,359,359,375,359,350,367
393,334,376,343,351,375,365,419,351,350,383
325,309,419,351,317,334,350,351,350,395,375
335,335,351,350,368,367,359,367,356,359,368
325,317,417,383,401,350,341,342,342,367,359
334,359,326,334,325,330,359,350,351,351,334
352,385,351,359,359,375,357,358,351,350,376
375,351,309,444,326,366,351,382,388,364,393
326,325,326,360,343,375,349,350,351,334,385
385,317,350,392,358,383,359,391,342,359,376
325,335,326,350,343,368,400,367,359,343,347
