0,1,2,3,4,5,6,7,8,9,10
2097,1427,2168,1520,2340,1460,2139,1423,2087,1468,1429
343,358,359,350,367,358,342,349,343,360,351
350,351,334,351,342,334,334,352,350,376,393
334,393,317,392,334,326,326,409,334,317,334
394,318,351,326,351,342,342,317,394,342,342
367,342,326,343,359,402,334,351,334,326,334
342,326,359,325,351,325,343,317,393,342,350
343,349,451,350,334,375,423,367,334,359,343
326,352,334,335,367,335,337,334,317,402,325
342,333,343,333,410,358,351,385,343,333,326
326,334,351,359,359,359,334,335,401,351,343
351,318,350,318,342,351,342,401,410,325,375
409,334,334,333,326,350,318,309,309,359,410
334,358,351,343,343,350,334,367,342,333,360
343,402,317,426,333,343,317,351,326,334,342
325,333,326,343,343,333,334,342,334,326,334
342,351,408,342,309,334,394,334,334,342,351
326,309,319,334,342,392,325,325,334,326,334
334,343,334,326,376,327,342,334,317,334,325
326,342,351,334,351,342,351,326,343,401,360
351,343,342,334,326,343,326,334,388,359,409
397,341,317,342,326,366,325,359,322,358,334
330,350,351,367,351,350,334,350,342,383,318
334,351,309,385,342,352,318,401,318,327,334
325,410,334,333,318,334,342,325,351,350,318
335,317,377,335,359,325,386,351,318,342,334
342,343,326,317,408,351,342,367,325,318,309
334,325,317,342,319,367,317,343,343,334,334
326,325,343,318,367,358,351,317,396,325,369
420,334,317,334,318,385,318,343,331,351,342
341,334,335,334,334,333,351,350,334,418,318
342,342,342,359,325,343,341,342,342,326,334
317,318,342,413,342,325,326,391,367,359,317
342,342,451,314,350,343,359,320,349,334,342
343,401,343,351,326,317,401,334,360,375,335
342,335,334,342,342,335,325,342,334,351,350
334,342,317,342,326,350,326,334,342,343,393
317,317,334,318,418,326,326,326,317,317,445
453,351,317,342,325,417,368,334,503,478,318
325,317,335,326,343,335,359,318,335,633,350
351,326,418,351,350,342,334,392,350,342,334
334,334,409,409,343,351,343,393,351,334,342
334,334,318,342,317,334,401,334,334,334,351
327,410,351,334,351,317,317,351,351,318,409
350,318,317,335,317,360,359,326,317,334,334
326,334,334,334,342,350,318,334,326,326,351
402,333,342,358,402,351,342,333,401,334,334
333,343,343,343,342,426,334,343,326,401,334
343,317,325,317,334,317,334,317,342,342,325
317,358,352,358,335,367,318,366,326,359,326
334,343,409,352,334,334,359,352,343,351,326
342,317,334,400,333,350,392,392,333,333,342
343,334,334,318,343,335,678,318,343,343,389
317,408,334,351,325,334,333,367,325,325,347
358,319,359,319,350,342,333,326,367,343,358
351,358,360,418,360,309,343,366,359,317,334
393,352,325,351,384,334,333,335,409,334,334
309,367,334,384,317,393,335,342,326,401,334
359,326,410,326,351,326,317,342,343,326,317
309,343,326,326,317,326,342,351,325,327,343
334,358,334,351,326,343,402,384,343,342,325
351,343,343,317,351,309,334,426,360,317,360
342,385,334,369,334,334,342,334,325,343,401
309,325,334,349,317,334,317,367,334,334,342
334,358,326,350,343,350,343,326,408,358,351
