0,1,2,3,4,5,6,7,8,9
3074,3051,2949,3102,3057,3042,2969,3049,3043,3067
1367,1394,1415,1409,1407,1408,1391,1391,1433,1425
1414,1388,1425,1448,1408,1391,1374,1408,1415,1431
1367,1392,1391,1416,1416,1449,1374,1474,1433,1435
1382,1381,1417,1399,1433,1366,1366,1441,1425,1418
1476,1410,1368,1400,1478,1425,1425,1425,1400,1431
1381,1422,1388,1424,1395,1391,1407,1419,1373,1440
1425,1383,1375,1429,1427,1391,1468,1419,1366,1428
1434,1451,1465,1478,1414,1392,1382,1485,1441,1446
1433,1401,1409,1408,1434,1357,1375,1436,1409,1428
1347,1463,1423,1501,1423,1400,1414,1404,1415,1461
1374,1361,1358,1382,1407,1431,1395,1374,1417,1394
1408,1385,1399,1349,1436,1399,1339,1401,1400,1429
1530,1701,1546,1649,1647,1564,1578,1648,1553,1567
1430,1401,1445,1416,1445,1369,1421,1408,1444,1375
1414,1427,1424,1393,1454,1359,1348,1433,1421,1351
1399,1388,1425,1397,1393,1373,1358,1466,1453,1515
1391,1452,1391,1418,1411,1350,1374,1407,1400,1452
1400,1394,1467,1364,1470,1407,1408,1419,1390,1445
1391,1443,1373,1400,1391,1383,1383,1411,1400,1450
1416,1434,1400,1449,1382,1383,1368,1469,1391,1384
1383,1400,1400,1341,1357,1391,1327,1458,1349,1352
1373,1402,1448,1383,1417,1424,1411,1465,1366,1436
1342,1401,1400,1391,1411,1425,1424,1366,1350,1359
1436,1420,1400,1433,1421,1432,1425,1449,1374,1400
1388,1436,1382,1424,1374,1375,1399,1425,1416,1377
1399,1436,1416,1408,1424,1407,1375,1383,1475,1409
1383,1334,1391,1415,1358,1425,1374,1517,1366,1454
1399,1399,1434,1442,1424,1491,1409,1423,1391,1418
1433,1404,1576,1411,1434,1450,1474,1451,1484,1515
1562,1511,1430,1412,1504,1432,1373,1451,1411,1490
1478,1803,1441,1450,1469,1434,1426,1443,1437,1410
1366,1388,1405,1399,1395,1373,1455,1462,1383,1461
1383,1366,1419,1434,1413,1391,1426,1398,1373,1377
1374,1341,1418,1348,1381,1375,1377,1427,1350,1432
1358,1357,1386,1450,1341,1450,1380,1389,1349,1385
1383,1400,1420,1390,1366,1390,1402,1332,1399,1402
1441,1357,1401,1375,1433,1366,1478,1341,1358,1412
1366,1358,1371,1374,1383,1368,1401,1350,1324,1369
1383,1391,1383,1333,1374,1378,1336,1369,1316,1444
1382,1400,1369,1366,1400,1461,1371,1396,1433,1367
1391,1394,1377,1333,1377,1426,1350,1378,1375,1412
1386,1426,1428,1332,1352,1394,1366,1447,1374,1485
1377,1445,1382,1390,1419,1403,1358,1402,1358,1418
1427,1408,1383,1442,1392,1345,1391,1412,1383,1416
1377,1383,1407,1392,1398,1460,1424,1352,1366,1383
1427,1398,1533,1424,1400,1385,1376,1423,1350,1399
1477,1375,1449,1399,1391,1390,1398,1373,1416,1358
1400,1350,1374,1410,1482,1391,1350,1400,1366,1394
1383,1406,1394,1356,1383,1400,1373,1416,1390,1380
1370,1377,1497,1410,1408,1382,1376,1424,1400,1354
1470,1378,1391,1405,1391,1399,1382,1359,1412,1470
1741,1512,1375,1374,1378,1367,1408,1538,1419,1479
1418,1423,1344,1426,1453,1450,1341,1410,1366,1428
1479,1391,1504,1356,1417,1377,1408,1382,1367,1403
1409,1333,1366,1766,1399,1413,1366,1409,1382,1396
1391,1383,1399,1383,1433,1441,1366,1432,1391,1366
1408,1349,1383,1445,1374,1440,1399,1399,1400,1344
1441,1368,1417,1371,1369,1400,1376,1416,1368,1404
1449,1356,1390,1390,1389,1399,1381,1369,1425,1392
1344,1399,1400,1461,1341,1377,1352,1413,1488,1361
1380,1387,1410,1397,1300,1394,1439,1433,1416,1396
1378,1461,1364,1358,1382,1444,1341,1377,1360,1344
1458,1458,1407,1374,1424,1377,1333,1427,1411,1388
1380,1399,1383,1399,1391,1402,1382,1444,1501,1428
1426,1366,1357,1374,1349,1411,1707,1349,1417,1437
1410,1408,1366,1392,1358,1358,1341,1368,1375,1458
