0,1,2,3,4,5,6,7,8,9,10
2874,2129,2824,2170,2908,2037,3055,2142,2916,2080,2872
489,479,457,464,480,491,539,492,473,506,482
447,498,497,529,447,512,481,506,471,496,464
522,464,446,547,505,474,480,530,489,481,479
474,521,473,473,455,463,514,480,464,514,489
446,464,479,514,464,486,463,526,480,463,463
481,522,439,455,505,472,497,509,457,514,498
496,497,497,497,447,488,473,497,446,482,464
464,531,463,497,489,473,463,547,472,478,487
481,496,473,463,488,500,506,489,456,514,498
471,473,488,506,507,460,505,505,446,488,463
498,488,455,471,504,464,505,558,481,497,505
446,464,497,489,498,491,514,502,512,505,498
506,463,564,505,505,489,488,498,498,501,455
522,514,455,489,438,496,506,539,472,510,522
455,497,505,513,506,495,488,463,471,499,471
489,463,455,488,471,466,481,504,464,513,481
480,531,472,498,456,496,522,556,438,507,521
488,489,489,496,505,462,463,467,489,512,455
523,471,464,464,463,475,539,538,481,474,498
488,506,488,522,473,497,488,506,455,520,505
472,455,472,472,504,461,472,486,480,513,480
497,506,471,482,448,497,531,514,430,464,530
514,482,497,529,514,507,463,515,489,522,472
488,488,448,489,488,471,497,499,472,498,505
497,488,496,489,480,471,513,589,447,471,497
514,505,464,546,524,464,472,504,472,522,564
488,472,463,481,536,440,522,514,455,492,454
489,573,489,513,481,507,513,480,447,477,514
464,505,455,497,521,463,497,522,507,539,481
463,472,480,497,481,438,505,497,446,454,471
523,505,472,472,505,464,506,487,473,501,523
513,506,455,505,497,463,504,549,479,535,471
464,480,489,480,481,441,489,513,447,497,489
514,504,447,464,513,503,498,521,489,526,506
496,506,472,522,481,455,546,506,505,518,471
481,481,472,463,521,456,472,528,464,489,505
529,522,446,498,456,496,522,499,454,513,497
498,472,489,521,463,556,505,520,489,522,489
530,471,456,472,489,464,481,499,439,515,514
488,506,463,522,514,488,538,505,463,471,488
472,489,489,505,479,481,497,555,473,514,505
513,480,438,472,481,490,496,471,446,521,488
514,514,480,497,480,487,539,523,481,510,489
481,472,472,529,505,465,473,520,439,510,530
488,480,447,480,523,480,538,480,471,455,464
