"","Alternative","num","mean","sd","min","max","se"
"1","X0",1000,346.405,65.0958712012326,301,2128,4.11702438537712
"2","X1",1000,350.191,49.3172455608554,300,1398,3.11909647796262
"3","X2",1000,349.267,69.1306643954747,301,2129,4.37220711300814
"4","X3",1000,364.353,48.0640254404636,308,1515,3.03983587816285
"5","X4",1000,358.166,73.0526600140963,301,2217,4.62025589556905
"6","X5",1000,365.243,49.057808956573,317,1530,3.10268826640358
"7","X6",1000,358.962,60.9640481855587,300,2088,3.85570495301242
"8","X7",1000,365.109,44.8973818155791,324,1468,2.83955975030911
"9","X8",1000,363.462,67.3381539915004,301,2181,4.258838800886
"10","X9",1000,367.931,48.5975715747501,324,1465,3.07358029858532
"11","X10",1000,365.047,68.4300186939801,309,2104,4.32789438801756
