"","Alternative","num","mean","sd","min","max","se"
"1","X0",1000,349.41,65.0373258502671,301,2097,4.11332165226782
"2","X1",1000,349.882,49.0548106759209,308,1427,3.10249863848508
"3","X2",1000,350.5,69.3971178072977,308,2168,4.38905910644182
"4","X3",1000,351.393,53.3784770559524,309,1520,3.37595131055697
"5","X4",1000,350.89,74.6577234830779,302,2340,4.72176902259131
"6","X5",1000,351.041,49.4043531392638,301,1460,3.12460564494727
"7","X6",1000,349.563,67.6448657243022,309,2139,4.27823695410101
"8","X7",1000,351.933,53.2573643532786,309,1423,3.36829147067641
"9","X8",1000,351.83,68.1377123760981,309,2087,4.30940731323827
"10","X9",1000,351.838,56.0984740861532,308,1468,3.54797902744354
"11","X10",1000,353.372,53.1668536809384,308,1429,3.36256707313345
