"","Alternative","num","mean","sd","min","max","se"
"1","X0",1000,1410.142,82.0004140471492,1292,3074,5.18616154931715
"2","X1",1000,1410.736,79.9113266322374,1303,3051,5.05403606007086
"3","X2",1000,1413.365,77.0918863041627,1311,2949,4.87571899679789
"4","X3",1000,1414.418,80.2513274130189,1308,3102,5.07553959754096
"5","X4",1000,1413.865,79.6255926823155,1300,3057,5.03596465833906
"6","X5",1000,1412.268,77.4008854799029,1312,3042,4.89526182060696
"7","X6",1000,1409.134,78.817651996658,1295,2969,4.98486600271914
"8","X7",1000,1410.892,77.7132916024774,1301,3049,4.9150201186533
"9","X8",1000,1410.769,80.6163670580463,1303,3043,5.09862673183187
"10","X9",1000,1416.096,79.1289971008239,1316,3067,5.00455719606928
