"","Alternative","num","mean","sd","min","max","se"
"1","X0",1000,498.04,78.7534285126842,438,2874,4.98080415294658
"2","X1",1000,497.206,56.714408117233,422,2129,3.58693411597596
"3","X2",1000,485.313,78.3118878765075,414,2824,4.95287867114981
"4","X3",1000,494.712,58.4012822270687,423,2170,3.69362140223696
"5","X4",1000,482.498,80.6293934932854,422,2908,5.09945059593484
"6","X5",1000,484.471,55.0081180559021,424,2037,3.47901885712168
"7","X6",1000,503.116,84.6659959775757,445,3055,5.35474775311587
"8","X7",1000,509.616,57.643137278216,439,2142,3.64567210553843
"9","X8",1000,487.356,81.0460469469407,420,2916,5.12580207410537
"10","X9",1000,496.901,56.7443840756433,430,2080,3.58882996204842
"11","X10",1000,505.907,78.4898018853406,446,2872,4.96413094106109
