"","Alternative","num","mean","sd","min","max","se"
"1","X0",1000,2494.074,216.089600025636,2313,5519,13.6667062951158
"2","X1",1000,2523.055,153.809679124535,2312,5394,9.72777824426367
"3","X2",1000,2500.445,117.599509436135,2320,4371,7.43764603073302
"4","X3",1000,2471.154,98.6222217688621,2320,4077,6.23741697391689
"5","X4",1000,2470.294,84.8222870735303,2329,4403,5.36463246994028
"6","X5",1000,2470.36,86.0903940980407,2329,4293,5.44483460022652
"7","X6",1000,2472.68,87.5859057776475,2304,4513,5.53941906372535
"8","X7",1000,2471.554,85.5041756176155,2320,4387,5.40775888813399
"9","X8",1000,2480.74,87.3742333680623,2323,4490,5.52603172508324
"10","X9",1000,2487.401,90.9494805208199,2296,4326,5.75215020909816
