"","Alternative","num","mean","sd","min","max","se"
"1","X50",1000,485.091,78.9255342646406,421,2832,4.99168907643854
"2","X100",1000,481.222,53.6116304818547,413,1978,3.39069722795943
"3","X200",1000,487.766,80.436765955111,421,2883,5.0872677607208
"4","X300",1000,484.606,55.1877019493147,421,2032,3.49037673980698
"5","X400",1000,501.538,81.2418290709334,438,2958,5.13818442284462
"6","X600",1000,500.97,58.1003162362035,430,2170,3.67458664164929
"7","X800",1000,483.534,81.4999453072519,421,2930,5.15450912700135
"8","X1000",1000,477.044,56.2699064009025,405,2070,3.5588213590268
"9","X1200",1000,480.349,82.5294147762077,413,2965,5.21961849307144
"10","X1400",1000,488.37,59.2602132368159,421,2159,3.74794496911195
"11","X2000",1000,484.789,79.896670499821,421,2879,5.05310912486836
"12","X2400",1000,490.372,57.3760195867887,421,2115,3.62877809937371
"13","X2800",1000,483.039,79.7603735961425,421,2866,5.0444889517953
"14","X3200",1000,479.135,59.7305660069915,413,2179,3.77769269026244
"15","X4000",1000,483.964,83.2796145416043,413,2993,5.26706529224698
