"","Alternative","num","mean","sd","min","max","se"
"1","X50",99,639.444444444444,249.023776515098,513,3074,50.0556624592664
"2","X100",99,632.676767676768,211.167349646654,555,2696,42.4462343485903
"3","X200",99,612.151515151515,202.203391422555,539,2586,40.6444109506656
"4","X300",99,615.868686868687,194.996998745331,546,2522,39.1958715202222
"5","X400",99,621.49494949495,199.504507326576,547,2571,40.1019148355735
"6","X600",99,638.616161616162,213.275174702308,555,2725,42.8699231263669
"7","X800",99,639.888888888889,187.095080536602,571,2467,37.6075261976506
"8","X1000",99,645.848484848485,215.971906886075,571,2759,43.4119866908293
"9","X1200",99,635.20202020202,254.605696739495,514,3128,51.1776706407223
"10","X1400",99,637.515151515152,213.481364843482,571,2724,42.9113689041696
"11","X2000",99,636.232323232323,190.792216730546,547,2497,38.350678534266
"12","X2400",99,615.272727272727,197.617380162996,546,2546,39.7225880032533
"13","X2800",99,618.545454545455,201.522636229287,546,2588,40.5075740082319
"14","X3200",99,625.50505050505,195.948836186397,563,2542,39.3871980446724
"15","X4000",99,632.747474747475,201.388868601567,565,2602,40.4806857033687
