"","Alternative","num","mean","sd","min","max","se"
"1","X0",1000,46.986,8.32268412659466,38,261,0.526372761723366
"2","X1",1000,49.207,8.23443725806186,40,243,0.520791539704544
"3","X2",1000,47.971,8.70597225776379,39,275,0.550614031615442
"4","X3",1000,48.522,8.43520412726736,37,262,0.533489151412353
"5","X4",1000,48.53,8.50019725379085,38,167,0.537599677653748
"6","X5",1000,47.159,8.56674431205393,36,271,0.541808483167653
"7","X6",1000,47.258,9.36371267794544,39,300,0.592213188354046
"8","X7",1000,47.617,8.18861187041887,40,248,0.517893287712304
"9","X8",1000,47.565,8.83718681882818,38,284,0.558912769118296
"10","X9",1000,47.289,8.33240108899633,36,259,0.526987316385916
"11","X10",1000,47.409,9.19914905539333,38,289,0.581805271008588
