"","Alternative","num","mean","sd","min","max","se"
"1","X1",1000,1530.323,100.753252497817,1319,2690,6.37219519126303
"2","X2",1000,1529.428,88.2192351443236,1375,3241,5.57947432988071
"3","X3",1000,1521.928,86.3194408106415,1373,3238,5.45932078627437
"4","X3.1",1000,1521.928,86.3194408106415,1373,3238,5.45932078627437
"5","X4",1000,1523.189,85.5702608886318,1382,3190,5.411938487658
"6","X5",1000,1517.04,85.5348034580226,1383,3231,5.40969596284396
"7","X6",1000,1520.299,86.2434550127285,1374,3224,5.45451502244976
"8","X7",1000,1497.148,105.99703518244,1320,3318,6.70384112803025
"9","X8",1000,1878.14,1073.77170109204,1361,6204,67.9112852496872
"10","X9",1000,1500.218,96.2176091175847,1374,3110,6.08533591654703
"11","X10",1000,1495.774,94.1752403761196,1353,3230,5.95616517564781
