"","Alternative","num","mean","sd","min","max","se"
"1","X1",1000,821.373,90.4072748530025,637,2052,5.71785811168705
"2","X2",1000,814.479,70.9601783108378,672,1945,4.48791573267855
"3","X3",1000,827.869,60.6524076484483,675,1548,3.83599507484228
"4","X3.1",1000,827.869,60.6524076484483,675,1548,3.83599507484228
"5","X4",1000,827.62,60.1143521576615,708,1747,3.80196545767335
"6","X5",1000,829.274,78.1949190764296,521,1939,4.94548091468135
"7","X6",1000,824.557,57.8312476452325,685,1438,3.65756924976368
"8","X7",1000,836.057,172.911932171518,562,5640,10.9359108056508
"9","X8",1000,825.484,56.5515324268037,698,1526,3.57663295283138
"10","X9",1000,841.801,211.891617239702,706,5943,13.4012025514812
"11","X10",1000,828.101,66.493053209528,638,1852,4.20538993441756
